Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	SPL17	SPL18	SPL19	SPL20	SPL21	SPL22	SPL23	SPL24	SPL25	SPL26	SPL27	SPL28	SPL29	SPL30	SPL31	SPL32	SPL33	SPL34	SPL35	SPL36	SPL37	SPL38	SPL39	SPL40	SPL41	SPL42	SPL43	SPL44	SPL45	SPL46	SPL47	SPL48	SPL49	SPL50	SPL51	SPL52	SPL53	SPL54	SPL55	SPL56	SPL57	SPL58	SPL59	SPL60	SPL61	SPL62	SPL63	SPL64	SPL65	SPL66	SPL67	SPL68	SPL69	SPL70	SPL71	SPL72	SPL73	SPL74	SPL75	SPL76	SPL77	SPL78	SPL79	SPL80	SPL81	SPL82	SPL83	SPL84	SPL85	SPL86	SPL87	SPL88	SPL89	SPL90	SPL91	SPL92	SPL93	SPL94	SPL95	SPL96	
Well	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
210	30,0	19196	15721	13800	15256	15891	14768	17790	17967	17388	18746	17238	20260	14574	14998	14419	15797	15025	16375	17677	18415	17967	18342	17840	18053	15728	16517	14505	15339	15349	15265	21413	16801	15791	18832	16936	16971	14468	16648	14652	15826	15023	15171	15503	15921	15802	15715	15515	16408	14755	19802	14397	15881	15672	14273	17161	16808	15909	15614	16748	17574	15970	15604	14756	16131	15429	15172	17792	17162	16737	15127	15246	15847	14627	16600	14541	20879	17332	15213	15666	17273	17163	15439	15822	14468	15490	14956	13833	15962	15030	15409	15489	17478	16648	15040	15378	14028
231	30,0	18998	15742	13831	15486	15521	14862	17497	18669	17009	17823	24079	19955	14680	14979	14380	15866	15511	15300	17898	19245	18451	18342	25389	18431	16426	16664	14615	15251	15713	15575	16690	18720	16040	17477	17065	16736	14778	15918	14567	15655	14949	15291	15762	16143	15943	15570	15438	16760	14457	16384	14406	15660	15921	15214	14970	17007	16045	15353	15249	14546	15331	15782	14742	15948	15397	15439	16649	17079	16671	15063	15177	15410	14516	16504	14314	21151	16895	15474	15631	17109	17185	15000	15393	14469	15283	15331	13795	15839	15259	15311	15445	17573	16584	14436	14831	14290
252	30,0	17368	15438	13962	15928	15782	15263	17553	18742	17250	18333	17091	20108	15042	14846	14255	16017	15123	15353	17758	19110	18448	18184	17962	17541	15530	16249	14589	15659	15657	15691	16772	17239	16042	17666	17230	16862	14807	16549	14662	15755	15159	15287	15688	17928	15536	15349	15607	16670	14370	19544	14450	15719	17676	14350	14879	16193	15644	15241	15250	14853	15315	15801	14624	15981	15429	15436	15891	17129	17026	14743	15709	16177	14579	16387	14379	21119	15510	15232	15435	17098	16990	14989	15561	14345	15319	15156	13962	15759	15066	15609	15851	17223	16445	14014	14871	14281
273	30,0	16386	15461	13821	15421	17029	15013	17752	18397	17289	17818	17371	25687	14730	15043	14310	15951	15181	15138	17874	19678	18349	18745	17871	17808	15266	16540	14732	15462	15564	16486	16895	17468	16278	18109	17205	17107	14783	15904	14644	15646	14943	15443	16016	16082	15786	15559	15683	16578	14339	15466	14428	15951	16624	14382	14817	16389	15952	15231	15238	14522	15366	15621	14735	15857	15569	15334	15649	17255	16670	14969	15200	16010	14485	16468	14331	20861	16488	15180	15611	17034	17130	14997	15308	14781	15445	15027	13820	15827	15220	15838	15655	17275	16549	15264	14842	14074
294	30,1	16841	15670	13787	15514	16355	15082	17467	17962	17395	18092	19641	19868	15009	14687	14127	15835	15203	15101	18006	19471	18585	18379	17742	18029	14974	16422	14592	15419	15593	15530	16813	17033	16079	17883	17504	17121	21034	16008	14917	15637	14833	15391	16053	16373	16107	15569	15682	16888	14362	19323	14342	15989	15544	15075	14991	16647	15805	15268	15196	14539	15159	15666	14746	16075	15410	15268	15575	17147	16692	14975	15020	15445	14566	16498	14381	21177	15611	15390	15486	17088	17095	14889	15291	14573	15331	15258	13801	15627	15406	15527	15769	17351	16784	13961	14722	14056
315	30,0	16214	15657	13816	16111	16004	15099	17569	18055	17613	18343	19008	20170	14611	14889	14358	15687	15175	16086	18120	19894	18731	18254	21347	20027	14913	16599	14446	15419	15610	15459	17114	17256	16281	18287	24018	17977	15231	15749	14566	15455	15115	15384	15795	16341	15994	15749	15848	16832	14152	16018	14481	15696	16033	14985	15056	16143	15881	16092	15306	14577	15338	18012	14755	15734	15299	15421	15755	16965	16850	14946	15149	15169	14571	16356	14493	20875	15383	15349	15880	16801	17106	14765	15297	14553	15405	15464	13771	15832	14926	15575	15700	17334	16613	14140	15047	14317
336	30,1	16667	15562	13738	15789	16295	15315	17560	18146	17527	18780	17342	20137	14777	14810	14623	16772	15032	17410	18217	19873	18886	18772	19188	18219	14948	16390	14684	15494	15665	15890	17339	17467	16445	18012	17443	17255	14423	15782	14663	15796	15207	15376	16371	16404	15853	15691	15842	16949	14350	15561	14412	15686	15817	14198	16235	18191	15674	15888	15450	14542	15008	17859	14712	15855	15417	15319	15798	17204	16755	15804	15185	15202	14692	16651	14570	20875	15585	15246	15776	17035	17003	14904	15910	14606	15370	15159	13928	15612	14953	15811	15570	17202	16415	14985	14923	14071
357	30,0	16957	15659	13818	15776	17168	15627	21273	18303	17741	18359	17319	21172	14989	15109	14244	17364	15417	17378	18447	19145	18761	18586	17929	17842	15138	16402	14575	15495	15566	16092	25785	17961	16601	17638	17481	18900	14515	16131	14713	15551	14927	15188	15971	16308	16181	15955	16229	17101	14472	15669	14299	15820	15635	14515	15062	16094	15814	15431	15656	15126	15216	15603	14609	15874	15462	15295	15562	17116	16617	15064	15153	15109	14559	16485	14409	20621	16791	15322	15461	16981	17042	14755	15367	14418	15533	15212	13734	15695	17056	15437	15471	17357	16359	14014	17601	14294
378	30,0	16254	15888	13825	15365	16368	15401	17492	18250	17316	18391	17367	22767	14759	14833	14297	16447	15210	15241	18269	19680	18957	18868	26368	17947	16137	16499	14562	15553	15443	15781	17573	17590	16466	18414	17678	17403	14622	15917	14864	15600	15385	15425	16352	16382	16103	15965	15931	17076	14386	15399	14509	15786	15579	14307	15197	16305	15854	15661	16977	14795	15401	15645	14685	15742	15367	15258	20739	16999	16704	14939	15110	15228	14605	16441	14500	20795	15532	15218	15506	16709	17104	15184	15249	14431	15292	15405	13813	15922	16519	15491	15412	17550	16747	14063	14837	14038
399	30,0	17210	15667	13778	15759	16552	15244	17510	18104	17664	18266	17173	22108	14665	14789	14421	18129	16081	16588	18454	20633	18989	18689	17919	21539	15097	16404	14713	15543	15745	15645	17577	17902	16697	18600	17756	21479	14503	16039	14710	15586	14844	15186	17016	16372	16025	16039	16097	17371	14321	16220	14605	15833	15682	14320	14958	16389	15814	15504	15518	14679	15299	15661	14808	15833	15385	15273	15767	16984	16494	14897	15189	15109	14565	16513	14322	20843	15385	15278	15434	16846	17041	14845	15375	14526	15490	15101	13791	15845	15669	15632	15553	17277	16621	14405	14991	13951
